,neighberhood,street
0,ההסתדרות ודרום העיר,אידמית
1,ההסתדרות ודרום העיר,אלישע רודין
2,ההסתדרות ודרום העיר,אפק
3,ההסתדרות ודרום העיר,ארנון
4,ההסתדרות ודרום העיר,גונן
5,ההסתדרות ודרום העיר,דרך יצחק רבין
6,ההסתדרות ודרום העיר,ההסתדרות
7,ההסתדרות ודרום העיר,הידיד
8,ההסתדרות ודרום העיר,המאבק
9,ההסתדרות ודרום העיר,המאור
10,ההסתדרות ודרום העיר,הנדיב
11,ההסתדרות ודרום העיר,הרצוג
12,ההסתדרות ודרום העיר,טבנקין
13,ההסתדרות ודרום העיר,יבניאלי
14,ההסתדרות ודרום העיר,ילדי טהרן
15,ההסתדרות ודרום העיר,ילין
16,ההסתדרות ודרום העיר,ישראל שפירא
17,ההסתדרות ודרום העיר,"כ""ג"
18,ההסתדרות ודרום העיר,כורזין
19,ההסתדרות ודרום העיר,"מהרש""ק"
20,ההסתדרות ודרום העיר,מנורה
21,ההסתדרות ודרום העיר,מצולות ים
22,ההסתדרות ודרום העיר,משמר הירדן
23,ההסתדרות ודרום העיר,עמישב
24,ההסתדרות ודרום העיר,צביה לובטקין
25,ההסתדרות ודרום העיר,צימבר
26,ההסתדרות ודרום העיר,צפרירים
27,ההסתדרות ודרום העיר,קיבוץ גלויות
28,ההסתדרות ודרום העיר,קרן היסוד
29,ההסתדרות ודרום העיר,קפלנסקי
30,ההסתדרות ודרום העיר,רביבים
31,ההסתדרות ודרום העיר,שילוב
32,ההסתדרות ודרום העיר,תפוצות ישראל
33,"רמב""ם",אבני זיכרון
34,"רמב""ם",אילת
35,"רמב""ם",אנצ'ו סירני
36,"רמב""ם",אריאל
37,"רמב""ם",גנסין
38,"רמב""ם",הדגנים
39,"רמב""ם",ההגנה
40,"רמב""ם",המגדל
41,"רמב""ם",הנגבה
42,"רמב""ם",הצנחנים
43,"רמב""ם",חנה סנש
44,"רמב""ם","ח""ן"
45,"רמב""ם",טייבר
46,"רמב""ם",יד מרדכי
47,"רמב""ם",עברונה
48,"רמב""ם",רחל
49,"רמב""ם",רייק חביבה
50,"רמב""ם","רמב""ם"
51,"רמב""ם",רמז
52,פועלי הרכבת,גבולות
53,פועלי הרכבת,דוד בן גוריון
54,פועלי הרכבת,הגורן
55,פועלי הרכבת,המעגל
56,פועלי הרכבת,המעלות
57,פועלי הרכבת,לביא
58,פועלי הרכבת,נתיב השלבים
59,פועלי הרכבת,סירקין
60,פועלי הרכבת,פועלי הרכבת
61,פועלי הרכבת,רוטברג
62,קריית יוסף,אחדות העבודה
63,קריית יוסף,אריאל שרון
64,קריית יוסף,דליה
65,קריית יוסף,הורדים
66,קריית יוסף,"הל""ה"
67,קריית יוסף,הפועל הצעיר
68,קריית יוסף,"הפלמ""ח"
69,קריית יוסף,"התע""ש"
70,קריית יוסף,כצנלסון
71,קריית יוסף,לכיש
72,קריית יוסף,משגב עם
73,קריית יוסף,מנרה
74,קריית יוסף,עליית הנוער
75,קריית יוסף,ערבי נחל
76,קריית יוסף,ערד
77,קריית יוסף,פטאי
78,קריית יוסף,קרית יוסף
79,קריית יוסף,"קק""ל"
80,​ארלוזרוב,אהרון שר
81,​ארלוזרוב,"אצ""ל"
82,​ארלוזרוב,ארלוזורוב
83,​ארלוזרוב,בראשית
84,​ארלוזרוב,ברדיצ'בסקי
85,​ארלוזרוב,ברוך
86,​ארלוזרוב,גולומב
87,​ארלוזרוב,גלבוע
88,​ארלוזרוב,דן
89,​ארלוזרוב,המעיין
90,​ארלוזרוב,המעלות
91,​ארלוזרוב,המרי
92,​ארלוזרוב,הכנסת
93,​ארלוזרוב,הראל
94,​ארלוזרוב,ויצמן
95,​ארלוזרוב,ז'בוטינסקי
96,​ארלוזרוב,יצחק שדה
97,​ארלוזרוב,כלנית
98,​ארלוזרוב,כנרת
99,​ארלוזרוב,מסדה
100,​ארלוזרוב,מעוז
101,​ארלוזרוב,ניצנה
102,​ארלוזרוב,נרקיס
103,​ארלוזרוב,עמל
104,​ארלוזרוב,"צה""ל"
105,​ארלוזרוב,רותם
106,​ארלוזרוב,ריינס
107,​ארלוזרוב,רמה
108,​ארלוזרוב,רקפת
109,​ארלוזרוב,שדה בוקר
110,​ארלוזרוב,שמעון בן צבי
111,​בורוכוב,אחדות העבודה
112,​בורוכוב,אהרון גולדשטיין
113,​בורוכוב,אלומות
114,​בורוכוב,אליהו
115,​בורוכוב,בורוכוב
116,​בורוכוב,בלוך
117,​בורוכוב,בן ציון ישראלי
118,​בורוכוב,גורדון
119,​בורוכוב,דוד קלעי
120,​בורוכוב,המורד
121,​בורוכוב,המעורר
122,​בורוכוב,השומר
123,​בורוכוב,השניים
124,​בורוכוב,ויצמן
125,​בורוכוב,חניתה
126,​בורוכוב,יפה נוף
127,​בורוכוב,יצחק
128,​בורוכוב,כצנלסון
129,​בורוכוב,מורדי הגטאות
130,​בורוכוב,מעלה בועז
131,​בורוכוב,נחל
132,​בורוכוב,סמ' גזית
133,​בורוכוב,סמ' צור
134,​בורוכוב,"קק""ל"
135,שינקין,אפיקים
136,שינקין,אפנר
137,שינקין,גבע
138,שינקין,גוש עציון
139,שינקין,גלבוע
140,שינקין,המבוא
141,שינקין,המלבן
142,שינקין,המעלות
143,שינקין,המפנה
144,שינקין,המרי
145,שינקין,ויצמן
146,שינקין,כצנלסון
147,שינקין,סירקין
148,שינקין,סמטת אסירי ציון
149,שינקין,עין גדי
150,שינקין,פיינברג
151,שינקין,שינקין
