שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
אבו סנאן,473,1,"אזור תעשייה, אלח'רוב, אלחלקאת, אלמלה, אלעקבה, השכ' הדרומית, מרכז הכפר, עמדאן סעד, קריית החינוך בראס אל כרם, ראס אלכרם שכ' החיילים המשוחררים הישנה, שכ' החיילים המשוחררים החדשה, שכ' הכנסייה- גרעין הכפר",
אבו סנאן,473,2,"אלג'ורה, אלמפצלה, אלשוקפאן, הואדי, כרם אלרג'ומה, עשואן, שכ' השוק",
אבו סנאן,473,3,"אבו-אלחסן, אלהדאפה, אלע'וזה, שכ' המסגד",
אום אל-פחם,2710,11,עין אבראהים,
אום אל-פחם,2710,12,"אלבאטן, אלג'זאלאת",
אום אל-פחם,2710,13,"אלביר, אלחאנוק, קחאויש",
אום אל-פחם,2710,14,"אבו סברי, אלגדוע, אלמחג'ר, אלעיון, ואד מלחם, סויסה, עין אלשערה, עקאדה",
אום אל-פחם,2710,15,"אלח'לאיל, אסכנדר, בורג'ל, בידר דבאלה, עין אלנבי, שרפה",
אום אל-פחם,2710,21,מרכז העיר - ג'בארין ומחאמיד,
אום אל-פחם,2710,22,מרכז העיר - אגבאריה ומחאג'נה,
אום אל-פחם,2710,31,"אלביאדר, אלמסיאת, אלשכ'ון אלע'רבי, ראס אלהיש",
אום אל-פחם,2710,32,"אבו נופל, אלביר, אלמעלקה, אלעראיש, עין אלזתונה, עראק אלשבאב, רובזת קיוואן",
אום אל-פחם,2710,33,"אבו לאחם, אלשאג'ור, עין אלד'רוה, עין גראר, עין ח'אלד, קטאין אלשומר",
אום אל-פחם,2710,34,"אלאקואס, אלח'דור, אלמלסא, אלסת ח'יזראן, ואדי אלנסור, עין אלוסטא, עין אלמג'ארה, עין אלתינה",
אופקים,31,1,מישור הגפן,"התמר, קבוץ גלויות, דרך בית וגן, הרב חורי, פרי מגדים"
אופקים,31,2,"דדו, יוני, יעקב מסיקה, שכ' משטרה","שרת, האורן, קדש, הכרמים, שד' הרצל"
אופקים,31,3,הארזים,"דרך בית וגן, הנשיא, גבורי ישראל, שד' הרצל, אלי כהן"
אופקים,31,4,"בנה ביתך, הרי''ף","אצ""ל, שד' הרצל, עולי הגרדום, החיד""א, ביל""ו"
אופקים,31,5,אזור התעשייה והמלאכה,"תוצרת הארץ, ז'בוטינסקי, המסגר, המלאכה, בצלאל"
אופקים,31,6,בן גוריון,"דרך הטייסים, בוזגלו דוד, רבי עקיבא, חפץ חיים, החיד""א"
אופקים,31,7,שפירא,"קריית ספר, דרך הנביאים, ירושלים, דוד המלך, דרך הטייסים"
אור יהודה,2400,1,"כפר ענה, נווה רבין","אלעזר דוד, צפריר, ניצן, העצמאות, יוסף חיים"
אור יהודה,2400,2,קריית גיורא (צפון),"סביון, אדם יקותיאל, הכלנית, העצמאות, יוסף חיים"
אור יהודה,2400,3,קריית גיורא (דרום),"אדם יקותיאל, החצב, העצמאות, השקמה, הורד"
אור יהודה,2400,4,ההסתדרות (צפון),"ההסתדרות, העצמאות, השיטה, ירושלים, שד' הבנים"
אור יהודה,2400,5,ההסתדרות (דרום),"דגניה, כצנלסון, יהדות קנדה, דקלה, ההסתדרות"
אור יהודה,2400,6,אזור תעשייה אלמוג ויהלום (נתניהו),"החרושת, היוזמים, העבודה, יהדות קנדה, שרת משה"
אור יהודה,2400,7,מרכז העיר,"שפרינצק, שרת משה, אסירי ציון, סעדון אליהו, יהדות קנדה"
אור יהודה,2400,8,עמידר,"החלוצים, הל""ה, סיני, עולי הגרדום, שד' בן פורת מרדכי"
אור יהודה,2400,9,"הפרדס, נווה הדרים","בר לב חיים, שד' בן גוריון, שד' בגין מנחם, דיין משה, שד' אלון יגאל"
