ticker,symbol,full_name,description,type,exchange
20,NDX,NASDAQ:NDX,Nasdaq 100,Index,NASDAQ
166,US500,NYSE:US500,S&P 500,Index,NYSE
168,AEX,Amsterdam:AEX,AEX,Index,Amsterdam
169,DJI,NYSE:DJI,Dow Jones Industrial Average,Index,NYSE
171,AXJO,Sydney:AXJO,S&P/ASX 200,Index,Sydney
172,DE40,Xetra:DE40,DAX,Index,Xetra
14958,IXIC,NASDAQ:IXIC,NASDAQ Composite,Index,NASDAQ
15020,XNDXNNRL,NASDAQ:XNDXNNRL,NASDAQ 100 Leveraged Notional Net Return,Index,NASDAQ
19942,DJU,NYSE:DJU,Dow Jones Utility,Index,NYSE
20124,DJINET,NYSE:DJINET,Dow Jones Internet Composite,Index,NYSE
27481,TFTSE,London:TFTSE,FTSE FT100 TR,Index,London
27535,BKX,NASDAQ:BKX,KBW Bank,Index,NASDAQ
27550,DRG,NYSE Arca:DRG,ARCA Pharmaceutical,Index,NYSE Arca
27569,MID,NYSE:MID,S&P Midcap 400,Index,NYSE
27604,NYA,NYSE:NYA,NYSE Composite,Index,NYSE
27620,SPMPGX,NYSE:SPMPGX,S&P MidCap 400 Pure Growth,Index,NYSE
27621,SPMPVX,NYSE:SPMPVX,S&P MidCap 400 Pure Value,Index,NYSE
27623,SPSPGX,NYSE:SPSPGX,S&P SmallCap 600 Pure Growth,Index,NYSE
27624,SPSPVX,NYSE:SPSPVX,S&P SmallCap 600 Pure Value,Index,NYSE
27627,SPXPGX,NYSE:SPXPGX,S&P 500 Pure Growth,Index,NYSE
27628,SPXPVX,NYSE:SPXPVX,S&P 500 Pure Value,Index,NYSE
27652,XAX,NYSE:XAX,NYSE AMEX Composite,Index,NYSE
27660,XMI,NYSE:XMI,ARCA Major Markets,Index,NYSE
40032,XAU,NASDAQ:XAU,Philadelphia Gold/Silver,Index,NASDAQ
40821,OEX,NYSE:OEX,S&P 100,Index,NYSE
44335,GVZ,CBOE:GVZ,CBOE Gold Volatitity,Index,CBOE
44336,VIX,CBOE:VIX,CBOE Volatility Index,Index,CBOE
44337,VIX3M,CBOE:VIX3M,CBOE S&P 500 3 Month Volatility,Index,CBOE
44341,VPD,CBOE:VPD,CBOE Vix Premium Strategy,Index,CBOE
44342,VIF,CBOE:VIF,CBOE Far-Term Vix,Index,CBOE
44345,VPN,CBOE:VPN,CBOE Capped Vix Premium Strateg,Index,CBOE
44350,RVX,CBOE:RVX,CBOE Russell 2000 Volatility,Index,CBOE
44353,PUT,CBOE:PUT,CBOE S&P 500 Putwrite,Index,CBOE
44355,VWB,CBOE:VWB,CBOE Market Volatility Spx Bid,Index,CBOE
44362,OVX,CBOE:OVX,CBOE Crude Oil Volatility,Index,CBOE
44365,VXTH,CBOE:VXTH,CBOE Vix Tail Hedge,Index,CBOE
44369,VXN,CBOE:VXN,CBOE NASDAQ 100 Volatility,Index,CBOE
44375,CLL,CBOE:CLL,CBOE S&P 500 95-110 Collar,Index,CBOE
44376,CXU,CBOE:CXU,CBOE U.S.-Europe-Japan Basket,Index,CBOE
44381,VWA,CBOE:VWA,CBOE Market Volatility Spx Offe,Index,CBOE
44385,EVZ,CBOE:EVZ,CBOE Euro Currency Volatility,Index,CBOE
44387,VIN,CBOE:VIN,CBOE Near-Term Vix,Index,CBOE
44392,VVIX,CBOE:VVIX,CBOE Vix Volatility,Index,CBOE
44395,LOVOL,CBOE:LOVOL,CBOE Low Volatility,Index,CBOE
101824,DWCPF,NYSE:DWCPF,Dow Jones U.S. Completion TSM,Index,NYSE
101829,HGX,NASDAQ:HGX,PHLX Housing,Index,NASDAQ
101830,UTY,NASDAQ:UTY,PHLX Utility,Index,NASDAQ
101831,OSX,NASDAQ:OSX,PHLX Oil Service,Index,NASDAQ
101836,XDA,NASDAQ:XDA,PHLX Australian Dollar,Index,NASDAQ
101838,XAG,NASDAQ:XAG,PHLX Gold Silver Settlement,Index,NASDAQ
941621,SP600,NYSE:SP600,S&P 600,Index,NYSE
942611,DXY,NYSE:DXY,US Dollar Index,Index,NYSE
951226,RUTNU,NYSE:RUTNU,SmallCap 2000 NR,Index,NYSE
953984,BXRTATMP,Global Indexes:BXRTATMP,Atlantic Trust Select MLP,Index,Global Indexes
954168,BXM,Global Indexes:BXM,CBOE S&P 500 BuyWrite,Index,Global Indexes
954178,XSP,Global Indexes:XSP,Mini SPX,Index,Global Indexes
954862,DJR,Global Indexes:DJR,Dow Jones Equity REIT,Index,Global Indexes
956775,DJCIAGC,Global Indexes:DJCIAGC,Dow Jones Commodity Agriculture Capped Component,Index,Global Indexes
956780,DJCICC,Global Indexes:DJCICC,Dow Jones Commodity Cocoa,Index,Global Indexes
956785,DJCIEN,Global Indexes:DJCIEN,Dow Jones Commodity Energy,Index,Global Indexes
956787,DJCIGC,Global Indexes:DJCIGC,Dow Jones Commodity Gold,Index,Global Indexes
956788,DJCIGR,Global Indexes:DJCIGR,Dow Jones Commodity Grains,Index,Global Indexes
956792,DJCIIK,Global Indexes:DJCIIK,Dow Jones Commodity Nickel,Index,Global Indexes
956796,DJCIKC,Global Indexes:DJCIKC,Dow Jones Commodity Coffee,Index,Global Indexes
956805,DJCISB,Global Indexes:DJCISB,Dow Jones Commodity Sugar,Index,Global Indexes
956807,DJCISI,Global Indexes:DJCISI,Dow Jones Commodity Silver,Index,Global Indexes
958103,XDB,Global Indexes:XDB,PHLX British Pound,Index,Global Indexes
959194,VXD,CBOE:VXD,DJIA Volatility,Index,CBOE
985371,BXN,CBOE:BXN,CBOE Nasdaq100 Buywrite,Index,CBOE
996304,BXD,CBOE:BXD,DJIA BuyWrite,Index,CBOE
996306,DJX,CBOE:DJX,1/100 Dow Jones Industrial Average,Index,CBOE
997272,REIT,Global Indexes:REIT,DowJonesEquityREITTotalReturn,Index,Global Indexes
1011883,NYXBT,NYSE:NYXBT,NYSE Bitcoin,Index,NYSE
1046327,SPSVTR,Global Indexes:SPSVTR,S&P SmallCap 600 Value Total Return,Index,Global Indexes
1056994,BRTI,CME:BRTI,Bitcoin Real-Time,Index,CME
1088675,SPGSCI,CME:SPGSCI,S&P Goldman Sachs Commodity Index,Index,CME
1096626,NYFANG,NYSE Arca:NYFANG,NYSE FANG+TM,Index,NYSE Arca
1122281,RUI,NASDAQ:RUI,Russell 1000,Index,NASDAQ
1127890,SGXRS20,Singapore:SGXRS20,iEdge SG Resources 20,Index,Singapore
1167545,VXTLT,CBOE:VXTLT,TLT VIX,Index,CBOE
1169683,VOLI,NASDAQ:VOLI,Nations VolDex,Index,NASDAQ
1187654,TNX,CBOE:TNX,10 Year Treasury Yield,Index,CBOE
1187655,TYX,CBOE:TYX,30 Year Treasury Yield,Index,CBOE
1187656,FVX,CBOE:FVX,5 Year Treasury Yield,Index,CBOE
1187659,VIX9D,CBOE:VIX9D,S&P 500 9-Day Volatility,Index,CBOE
1187663,CEX,CBOE:CEX,S&P Chemicals,Index,CBOE
1187667,DUX,CBOE:DUX,Dow Jones Utility Average,Index,CBOE
1187678,RXM,CBOE:RXM,S&P 500 Risk Reversal,Index,CBOE
1187679,DXL,CBOE:DXL,Jumbo DJX,Index,CBOE
1187693,SMILE,CBOE:SMILE,The S&P 500 Smile,Index,CBOE
1187704,SPRI,CBOE:SPRI,S&P 500 Range Bound Premium Income,Index,CBOE
1187744,XSR,CBOE:XSR,Mini-SPX based on the S&P 500,Index,CBOE
1187755,SPEN,CBOE:SPEN,S&P 500 Enhanced Growth Balanced Series,Index,CBOE
1191882,VIX6M,CBOE:VIX6M,Cboe S&P 500 6-Month Volatility,Index,CBOE
1191883,VIX1Y,CBOE:VIX1Y,Cboe S&P 500 One-Year Volatility,Index,CBOE
1202857,RUA,NASDAQ:RUA,Russell 3000,Index,NASDAQ
